,subjID,edgeRT,model,trial,group,block,logRT_ms
211,s43,7743.0,Bayes Optimal Teacher,22.0,Incongruent,test,8.954544488386723
212,s43,4204.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.343791731996841
213,s43,5583.0,Bayes Optimal Teacher,24.0,Incongruent,test,8.62748154531036
214,s44,1625.0,Reward Heuristic,20.0,Congruent,test,7.393263094763838
215,s44,8379.0,Reward Heuristic,21.0,Congruent,test,9.033483854613287
216,s44,2819.0,Reward Heuristic,22.0,Congruent,test,7.9441374911141125
217,s44,2411.0,Reward Heuristic,23.0,Congruent,test,7.787796878181171
218,s44,1543.0,Reward Heuristic,24.0,Congruent,test,7.341483852363161
219,s45,5562.0,Bayes Optimal Teacher,20.0,Congruent,test,8.62371303479391
220,s45,1959.0,Bayes Optimal Teacher,21.0,Congruent,test,7.580189417944541
221,s45,2120.0,Bayes Optimal Teacher,22.0,Congruent,test,7.659171367666058
222,s45,1648.0,Bayes Optimal Teacher,23.0,Congruent,test,7.4073177104694174
223,s45,5938.0,Bayes Optimal Teacher,24.0,Congruent,test,8.689127655323706
224,s46,3240.0,Reward Heuristic,18.0,Incongruent,test,8.083328608786376
225,s46,11384.0,Reward Heuristic,19.0,Incongruent,test,9.339964139769688
226,s46,4702.0,Reward Heuristic,20.0,Incongruent,test,8.455743229100015
227,s46,3923.0,Reward Heuristic,21.0,Incongruent,test,8.274611946209552
228,s46,2241.0,Reward Heuristic,22.0,Incongruent,test,7.714677473800927
229,s47,10316.0,Bayes Optimal Teacher,20.0,Incongruent,test,9.241451367001236
230,s47,20239.0,Bayes Optimal Teacher,21.0,Incongruent,test,9.915366715066206
231,s47,7490.0,Bayes Optimal Teacher,22.0,Incongruent,test,8.921324076511265
232,s47,5312.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.57772369115627
233,s48,5616.0,Bayes Optimal Teacher,20.0,Incongruent,test,8.633374945705647
234,s48,6169.0,Bayes Optimal Teacher,21.0,Incongruent,test,8.72729202920964
235,s48,8866.0,Bayes Optimal Teacher,22.0,Incongruent,test,9.089979015305
236,s48,3813.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.246171559857563
237,s48,10742.0,Bayes Optimal Teacher,24.0,Incongruent,test,9.281916570465405
238,s49,8233.0,Bayes Optimal Teacher,20.0,Incongruent,test,9.015905747298426
239,s49,4403.0,Bayes Optimal Teacher,21.0,Incongruent,test,8.390041405755754
240,s49,10013.0,Bayes Optimal Teacher,22.0,Incongruent,test,9.211639527707803
241,s49,9909.0,Bayes Optimal Teacher,23.0,Incongruent,test,9.201198714058899
242,s49,9461.0,Bayes Optimal Teacher,24.0,Incongruent,test,9.154933364704444
243,s50,3578.0,Bayes Optimal Teacher,20.0,Incongruent,test,8.182559264068665
244,s50,2892.0,Bayes Optimal Teacher,21.0,Incongruent,test,7.969703583278656
245,s50,5185.0,Bayes Optimal Teacher,22.0,Incongruent,test,8.553525120663627
246,s50,4048.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.305978210967302
247,s50,6578.0,Bayes Optimal Teacher,24.0,Incongruent,test,8.791486026749002
248,s51,5803.0,Bayes Optimal Teacher,20.0,Congruent,test,8.666130304190608
249,s51,4697.0,Bayes Optimal Teacher,21.0,Congruent,test,8.454679286026995
250,s51,6653.0,Bayes Optimal Teacher,22.0,Congruent,test,8.802823159741887
251,s51,6836.0,Bayes Optimal Teacher,23.0,Congruent,test,8.829958044235482
252,s51,3131.0,Bayes Optimal Teacher,24.0,Congruent,test,8.049107721326406
253,s52,5947.0,Reward Heuristic,20.0,Congruent,test,8.690642169706594
254,s52,2143.0,Reward Heuristic,21.0,Congruent,test,7.669961995473577
255,s52,4191.0,Reward Heuristic,22.0,Congruent,test,8.340694647925071
256,s52,3591.0,Reward Heuristic,23.0,Congruent,test,8.186185994226083
257,s52,2294.0,Reward Heuristic,24.0,Congruent,test,7.738052297689316
258,s53,6871.0,Bayes Optimal Teacher,19.0,Incongruent,test,8.835064935031076
259,s53,3156.0,Bayes Optimal Teacher,20.0,Incongruent,test,8.057060681965766
260,s53,3102.0,Bayes Optimal Teacher,21.0,Incongruent,test,8.039802343736485
261,s53,6716.0,Bayes Optimal Teacher,22.0,Incongruent,test,8.812248018197431
262,s53,15801.0,Bayes Optimal Teacher,23.0,Incongruent,test,9.6678285081515
263,s54,5454.0,Reward Heuristic,20.0,Congruent,test,8.604104563405533
264,s54,3829.0,Reward Heuristic,21.0,Congruent,test,8.250358951477294
265,s54,4854.0,Reward Heuristic,22.0,Congruent,test,8.487558386286548
266,s54,4019.0,Reward Heuristic,23.0,Congruent,test,8.2987883944492
267,s54,2743.0,Reward Heuristic,24.0,Congruent,test,7.916807490937603
268,s55,8509.0,Bayes Optimal Teacher,20.0,Congruent,test,9.048879705849558
269,s55,4976.0,Bayes Optimal Teacher,21.0,Congruent,test,8.512381634419015
270,s55,5325.0,Bayes Optimal Teacher,22.0,Congruent,test,8.580167990577626
271,s55,6231.0,Bayes Optimal Teacher,23.0,Congruent,test,8.737292112544221
272,s55,5835.0,Bayes Optimal Teacher,24.0,Congruent,test,8.671629544720656
273,s56,12825.0,Reward Heuristic,20.0,Congruent,test,9.45915167003897
274,s56,18045.0,Reward Heuristic,21.0,Congruent,test,9.800623917076889
275,s56,10978.0,Reward Heuristic,22.0,Congruent,test,9.303648549109834
276,s56,12462.0,Reward Heuristic,23.0,Congruent,test,9.430439293104167
277,s57,8164.0,Bayes Optimal Teacher,20.0,Incongruent,test,9.007489523929735
278,s57,9949.0,Bayes Optimal Teacher,21.0,Incongruent,test,9.20522732258936
279,s57,13191.0,Bayes Optimal Teacher,22.0,Incongruent,test,9.48729005784892
280,s57,10119.0,Bayes Optimal Teacher,23.0,Incongruent,test,9.222170123729759
281,s57,9683.0,Bayes Optimal Teacher,24.0,Incongruent,test,9.17812704961153
282,s58,23223.0,Reward Heuristic,20.0,Congruent,test,10.052898445872824
283,s58,13568.0,Reward Heuristic,21.0,Congruent,test,9.515469358031684
284,s58,1989.0,Reward Heuristic,22.0,Congruent,test,7.5953872788539725
285,s58,20549.0,Reward Heuristic,23.0,Congruent,test,9.93056755693987
286,s58,16806.0,Reward Heuristic,24.0,Congruent,test,9.729491244488164
287,s59,9660.0,Bayes Optimal Teacher,20.0,Congruent,test,9.175748927206564
288,s59,10786.0,Bayes Optimal Teacher,21.0,Congruent,test,9.286004275897172
289,s59,11792.0,Bayes Optimal Teacher,22.0,Congruent,test,9.375176614429117
290,s59,10320.0,Bayes Optimal Teacher,23.0,Congruent,test,9.241839039035554
291,s59,15270.0,Bayes Optimal Teacher,24.0,Congruent,test,9.633645398212678
292,s60,13676.0,Bayes Optimal Teacher,20.0,Incongruent,test,9.523397750759193
293,s60,11645.0,Bayes Optimal Teacher,21.0,Incongruent,test,9.36263218231844
294,s60,14209.0,Bayes Optimal Teacher,22.0,Incongruent,test,9.561630845638076
295,s60,15464.0,Bayes Optimal Teacher,23.0,Incongruent,test,9.646270020888167
296,s60,7882.0,Bayes Optimal Teacher,24.0,Incongruent,test,8.97233695775495
